Date,Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather Situation,Temperature,Apparent Temperature,Humidity,Wind Speed,Casual User,Registered User,Total Count,Recency,Rental Category
2011-01-01,Spring,2011,Jan,0,0,Saturday,0,Clear,0.24,0.2879,81.0,0.0,3,13,16,730,Low
2011-01-01,Spring,2011,Jan,1,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,8,32,40,730,Low
2011-01-01,Spring,2011,Jan,2,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,5,27,32,730,Low
2011-01-01,Spring,2011,Jan,3,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,3,10,13,730,Low
2011-01-01,Spring,2011,Jan,4,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,0,1,1,730,Low
2011-01-01,Spring,2011,Jan,5,0,Saturday,0,Misty,0.24,0.2576,75.0,0.0896,0,1,1,730,Low
2011-01-01,Spring,2011,Jan,6,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,2,0,2,730,Low
2011-01-01,Spring,2011,Jan,7,0,Saturday,0,Clear,0.2,0.2576,86.0,0.0,1,2,3,730,Low
2011-01-01,Spring,2011,Jan,8,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,1,7,8,730,Low
2011-01-01,Spring,2011,Jan,9,0,Saturday,0,Clear,0.32,0.3485,76.0,0.0,8,6,14,730,Low
2011-01-01,Spring,2011,Jan,10,0,Saturday,0,Clear,0.38,0.3939,76.0,0.2537,12,24,36,730,Low
2011-01-01,Spring,2011,Jan,11,0,Saturday,0,Clear,0.36,0.3333,81.0,0.2836,26,30,56,730,Medium
2011-01-01,Spring,2011,Jan,12,0,Saturday,0,Clear,0.42,0.4242,77.0,0.2836,29,55,84,730,Medium
2011-01-01,Spring,2011,Jan,13,0,Saturday,0,Misty,0.46,0.4545,72.0,0.2985,47,47,94,730,Medium
2011-01-01,Spring,2011,Jan,14,0,Saturday,0,Misty,0.46,0.4545,72.0,0.2836,35,71,106,730,Medium
2011-01-01,Spring,2011,Jan,15,0,Saturday,0,Misty,0.44,0.4394,77.0,0.2985,40,70,110,730,Medium
2011-01-01,Spring,2011,Jan,16,0,Saturday,0,Misty,0.42,0.4242,82.0,0.2985,41,52,93,730,Medium
2011-01-01,Spring,2011,Jan,17,0,Saturday,0,Misty,0.44,0.4394,82.0,0.2836,15,52,67,730,Medium
2011-01-01,Spring,2011,Jan,18,0,Saturday,0,Light Rain,0.42,0.4242,88.0,0.2537,9,26,35,730,Low
2011-01-01,Spring,2011,Jan,19,0,Saturday,0,Light Rain,0.42,0.4242,88.0,0.2537,6,31,37,730,Low
2011-01-01,Spring,2011,Jan,20,0,Saturday,0,Misty,0.4,0.4091,87.0,0.2537,11,25,36,730,Low
2011-01-01,Spring,2011,Jan,21,0,Saturday,0,Misty,0.4,0.4091,87.0,0.194,3,31,34,730,Low
2011-01-01,Spring,2011,Jan,22,0,Saturday,0,Misty,0.4,0.4091,94.0,0.2239,11,17,28,730,Low
2011-01-01,Spring,2011,Jan,23,0,Saturday,0,Misty,0.46,0.4545,88.0,0.2985,15,24,39,730,Low
2011-01-02,Spring,2011,Jan,0,0,Sunday,0,Misty,0.46,0.4545,88.0,0.2985,4,13,17,729,Low
2011-01-02,Spring,2011,Jan,1,0,Sunday,0,Misty,0.44,0.4394,94.0,0.2537,1,16,17,729,Low
2011-01-02,Spring,2011,Jan,2,0,Sunday,0,Misty,0.42,0.4242,100.0,0.2836,1,8,9,729,Low
2011-01-02,Spring,2011,Jan,3,0,Sunday,0,Misty,0.46,0.4545,94.0,0.194,2,4,6,729,Low
2011-01-02,Spring,2011,Jan,4,0,Sunday,0,Misty,0.46,0.4545,94.0,0.194,2,1,3,729,Low
2011-01-02,Spring,2011,Jan,6,0,Sunday,0,Light Rain,0.42,0.4242,77.0,0.2985,0,2,2,729,Low
2011-01-02,Spring,2011,Jan,7,0,Sunday,0,Misty,0.4,0.4091,76.0,0.194,0,1,1,729,Low
2011-01-02,Spring,2011,Jan,8,0,Sunday,0,Light Rain,0.4,0.4091,71.0,0.2239,0,8,8,729,Low
2011-01-02,Spring,2011,Jan,9,0,Sunday,0,Misty,0.38,0.3939,76.0,0.2239,1,19,20,729,Low
2011-01-02,Spring,2011,Jan,10,0,Sunday,0,Misty,0.36,0.3485,81.0,0.2239,7,46,53,729,Medium
2011-01-02,Spring,2011,Jan,11,0,Sunday,0,Misty,0.36,0.3333,71.0,0.2537,16,54,70,729,Medium
2011-01-02,Spring,2011,Jan,12,0,Sunday,0,Misty,0.36,0.3333,66.0,0.2985,20,73,93,729,Medium
2011-01-02,Spring,2011,Jan,13,0,Sunday,0,Misty,0.36,0.3485,66.0,0.1343,11,64,75,729,Medium
2011-01-02,Spring,2011,Jan,14,0,Sunday,0,Light Rain,0.36,0.3485,76.0,0.194,4,55,59,729,Medium
2011-01-02,Spring,2011,Jan,15,0,Sunday,0,Light Rain,0.34,0.3333,81.0,0.1642,19,55,74,729,Medium
2011-01-02,Spring,2011,Jan,16,0,Sunday,0,Light Rain,0.34,0.3333,71.0,0.1642,9,67,76,729,Medium
2011-01-02,Spring,2011,Jan,17,0,Sunday,0,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,729,Medium
2011-01-02,Spring,2011,Jan,18,0,Sunday,0,Misty,0.36,0.3333,46.0,0.3284,10,43,53,729,Medium
2011-01-02,Spring,2011,Jan,19,0,Sunday,0,Clear,0.32,0.2879,42.0,0.4478,1,29,30,729,Low
2011-01-02,Spring,2011,Jan,20,0,Sunday,0,Clear,0.3,0.2727,39.0,0.3582,5,17,22,729,Low
2011-01-02,Spring,2011,Jan,21,0,Sunday,0,Clear,0.26,0.2273,44.0,0.3284,11,20,31,729,Low
2011-01-02,Spring,2011,Jan,22,0,Sunday,0,Clear,0.24,0.2121,44.0,0.2985,0,9,9,729,Low
2011-01-02,Spring,2011,Jan,23,0,Sunday,0,Clear,0.22,0.2273,47.0,0.1642,0,8,8,729,Low
2011-01-03,Spring,2011,Jan,0,0,Monday,1,Clear,0.22,0.197,44.0,0.3582,0,5,5,728,Low
2011-01-03,Spring,2011,Jan,1,0,Monday,1,Clear,0.2,0.1667,44.0,0.4179,0,2,2,728,Low
